loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,mean_F_rmse
30,1e-08,100.0,0.25,0.0008131405961825065,0.05583273516561561,0.0972914537756444,0.19496936797259307,0.461500756062386,0.2773600016387521,0.05635844775741824
40,1e-08,100.0,0.25,0.0008250709350488592,0.05650501709983043,0.10911373236328939,0.22117207357706267,0.5216457011334394,0.3412438458474976,0.05635844775741824
10,1e-08,100.0,0.5,0.0006878094283496091,0.04290149780892769,0.0661176358700446,0.13212114240168055,0.2839594576487488,0.15228568792585864,0.04278405390753928
20,1e-08,100.0,0.5,0.0006763001014612426,0.04248959478209105,0.06947583467851641,0.13746889484405564,0.3146574302823192,0.17960423266386186,0.04278405390753928
30,1e-08,100.0,0.5,0.0006719127826404516,0.04216743242780214,0.07391786796465359,0.1486131607672103,0.3500141209945218,0.21102776112842692,0.04278405390753928
40,1e-08,100.0,0.5,0.0006947614523187694,0.043577690611336276,0.08582920584076853,0.20610455443463488,0.4220426918538401,0.2737792024407188,0.04278405390753928
10,1e-08,100.0,0.75,0.0005877325530200708,0.03195238962850483,0.04996843443208121,0.09912100252159561,0.2135305827920129,0.11475919659957917,0.0323038630582783
20,1e-08,100.0,0.75,0.0005735564333802974,0.03132795460763674,0.05259034817295054,0.10231400678329801,0.2359175914299856,0.13606441840651298,0.0323038630582783
30,1e-08,100.0,0.75,0.0005713164899218203,0.03128435174392522,0.055779098761436954,0.11369548634490993,0.2643522021690079,0.16025224671665597,0.0323038630582783
40,1e-08,100.0,0.75,0.0006167971425801997,0.03465075625304642,0.07097295986693654,0.22684032751811475,0.38318302309497937,0.2374937090712003,0.0323038630582783
10,1e-08,100.0,1.0,0.0005500671695007031,0.027377137293688205,0.04374359709423896,0.0858483141845555,0.1857332498120069,0.10025945526479955,0.028518246279125928
20,1e-08,100.0,1.0,0.000536060308537328,0.02674588020886879,0.046738751952238325,0.08894593317151364,0.20755836166830627,0.12143672271416914,0.028518246279125928
30,1e-08,100.0,1.0,0.0005347942237000197,0.026816957984210413,0.04898739690020887,0.10230252386818849,0.2334340937913337,0.14163596173919993,0.028518246279125928
40,1e-08,100.0,1.0,0.0006115372157632275,0.03313300962973631,0.07007874168514486,0.27502866332019604,0.4223187081667136,0.2471119929498263,0.028518246279125928
10,1e-06,0.1,0.25,0.0009086750468137691,0.053873038188773564,0.08225637810394838,0.16522713322618815,0.3549477192384842,0.19036689416485128,0.06052571385498405
20,1e-06,0.1,0.25,0.001818990234217354,0.05569506179310298,0.08875910709218028,0.18080965937903348,0.40805397163794715,0.23145670860248277,0.06052571385498405
30,1e-06,0.1,0.25,0.0035289108793177242,0.06124455033300523,0.10361949504234311,0.23960503363717311,0.5189259301783404,0.31601904473873266,0.06052571385498405
40,1e-06,0.1,0.25,0.005407511065335474,0.07129020510505439,0.133767322728526,0.37516556035685866,0.7520381051665241,0.5187295766052512,0.06052571385498405
10,1e-06,0.1,0.5,0.001175950342613069,0.037090441521230214,0.05576152924957124,0.11220108270694917,0.24063118504685788,0.12890146915228892,0.06391679033981372
20,1e-06,0.1,0.5,0.0033709827132593945,0.04682141080895417,0.06992560915974491,0.15571142180461814,0.33448824475842764,0.18921775084337414,0.06391679033981372
30,1e-06,0.1,0.5,0.006906932592042905,0.07079583883507545,0.11274380322781834,0.3294963556902272,0.6745118641661969,0.4228923861831762,0.06391679033981372
40,1e-06,0.1,0.5,0.010734092447917848,0.10095947019399504,0.18624561043220195,0.6528959412743863,1.3965140566594414,1.0067219333845188,0.06391679033981372
10,1e-06,0.1,0.75,0.0016291969503349456,0.023330285608343906,0.03232630084182099,0.06613705729356623,0.14107973417774497,0.07575687777243567,0.07721812257629565
20,1e-06,0.1,0.75,0.00501388412422521,0.04896537756153789,0.06695847379504777,0.16862557614833626,0.3538952566397241,0.20361433649453584,0.07721812257629565
30,1e-06,0.1,0.75,0.010330203897662545,0.09370050209155273,0.14609058970831976,0.46440700284545516,1.0254807857180506,0.6693556929520222,0.07721812257629565
40,1e-06,0.1,0.75,0.01609078241441236,0.14287632504374806,0.265390058990663,0.9634581653208932,2.470578984293966,1.8734201382657147,0.07721812257629565
