method,loadstep,lambda_smooth,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
mesh-laplacian,50,0.001,0.5,3.8117401125893036e-07,0.00010031604695717652,0.00011259146642301415,0.00024093128868847092,0.0004900269200844191,0.0002585399537175356,0.9257222154348197,0,7.342713277299838e-05
mesh-laplacian,60,0.001,0.5,4.4086323346273264e-07,0.0001166403165720934,0.00013261253420378578,0.0003003102100604094,0.0005987544745792528,0.00031524153990112366,0.9080679262652321,0,7.342713277299838e-05
mesh-laplacian,10,0.001,0.75,1.538200870796308e-07,4.171462156708399e-05,4.278179828686486e-05,8.641563782344089e-05,0.0001741916172007139,8.79279808140612e-05,0.9661507431804105,0,0.00011014069915951338
mesh-laplacian,20,0.001,0.75,2.672037243945545e-07,7.12721713927125e-05,7.571001667831752e-05,0.0001543327585355835,0.0003135199915945455,0.00016009810098271916,0.9496365824449414,0,0.00011014069915951338
mesh-laplacian,30,0.001,0.75,3.730866217960644e-07,9.815220482345723e-05,0.00010635214833163457,0.00021869873599639534,0.00044635617483750186,0.00023049204439299175,0.943922615252984,0,0.00011014069915951338
mesh-laplacian,40,0.001,0.75,4.752753053752804e-07,0.00012427065187978813,0.00013592799674204962,0.0002859948445700184,0.000581890757752994,0.00030288205506351037,0.9359791968063207,0,0.00011014069915951338
mesh-laplacian,50,0.001,0.75,5.717610168883844e-07,0.0001504740704357974,0.0001688928800678238,0.00036138533186398745,0.0007351250945779278,0.00038786853216161364,0.9258052768551457,0,0.00011014069915951338
mesh-laplacian,60,0.001,0.75,6.612948501941862e-07,0.00017496047485824102,0.0001989273492058991,0.0004504049204604801,0.0008982232786538187,0.000472949141419553,0.9081775608800347,0,0.00011014069915951338
mesh-laplacian,10,0.001,1.0,2.0509344943951744e-07,5.561949542277718e-05,5.704279958113913e-05,0.00011522292881956,0.0002322600281229981,0.00011723888271612725,0.9662010585087851,0,0.00014685426554601655
mesh-laplacian,20,0.001,1.0,3.562716325260491e-07,9.502956185696887e-05,0.00010094802207587166,0.00020578342720626216,0.0004180457866364272,0.00021347280282778294,0.949694951765582,0,0.00014685426554601655
mesh-laplacian,30,0.001,1.0,4.97448829061413e-07,0.0001308696064313204,0.00014180549801955832,0.00029160531743301776,0.000595180871366342,0.00030734369980366127,0.9439525911608792,0,0.00014685426554601655
mesh-laplacian,40,0.001,1.0,6.337004071670429e-07,0.00016569420250640022,0.00018124220667996562,0.0003813244071691491,0.0007759211107513403,0.0004038856564323989,0.9360039792717986,0,0.00014685426554601655
mesh-laplacian,50,0.001,1.0,7.623480225178977e-07,0.00020063209391439271,0.00022519808392492942,0.0004818318704921442,0.0009802798852834142,0.0005172361776016788,0.925888337787815,0,0.00014685426554601655
mesh-laplacian,60,0.001,1.0,8.817264669254182e-07,0.00023328063314423983,0.0002652478685007127,0.0006004597175213874,0.0011977533390540895,0.000630714623418467,0.9082871952695682,0,0.00014685426554601655
mesh-laplacian,10,0.01,0.25,4.5445596946297036e-07,0.00011811086584263231,0.00011862884442630162,0.00023944116759280228,0.0004826926492882316,0.0002436827377957761,0.9664294146186838,0,0.0003117894219840905
mesh-laplacian,20,0.01,0.25,7.91206521633942e-07,0.00020189209808415368,0.00020950219231893264,0.0004265929485559707,0.000866558621622436,0.00044260659511485985,0.9499395444687598,0,0.0003117894219840905
mesh-laplacian,30,0.01,0.25,1.1061254882846209e-06,0.0002781843520496261,0.0002940234906934732,0.0006038110549449209,0.0012319278418592475,0.000636401127179555,0.9440462644993263,0,0.0003117894219840905
